Name,Sex,NOC,Year,Sport,Event,Medal,GDP,Population
Gitte Madsen,F,DEN,1996,Handball,Handball Women's Handball,Gold,1.88E+11,5251000
Khadzhimurat Saygidmagomedovich Magomedov,M,RUS,1996,Wrestling,"Wrestling Men's Middleweight, Freestyle",Gold,3.92E+11,148200000
Kim Ly Maher,F,USA,1996,Softball,Softball Women's Softball,Gold,8.07E+12,269700000
Rexy Ronald Mainaky,M,INA,1996,Badminton,Badminton Men's Doubles,Gold,2.27E+11,199900000
Clover Margaret Maitland,F,AUS,1996,Hockey,Hockey Women's Hockey,Gold,4.00E+13,18310000
Karl Malone,M,USA,1996,Basketball,Basketball Men's Basketball,Gold,8.07E+12,269700000
"Maicel Donee Malone (-Wallace, -Trapp)",F,USA,1996,Athletics,Athletics Women's 4 x 400 metres Relay,Gold,8.07E+12,269700000
Ilgar Yashar-ogly Mamedov,M,RUS,1996,Fencing,"Fencing Men's Foil, Team",Gold,3.92E+11,148200000
Juan Manrique Garca,M,CUB,1996,Baseball,Baseball Men's Baseball,Gold,2.50E+10,10990000
Russell Andrew Mark,M,AUS,1996,Shooting,Shooting Men's Double Trap,Gold,4.00E+13,18310000
Karen Elizabeth Marsden,F,AUS,1996,Hockey,Hockey Women's Hockey,Gold,4.00E+13,18310000
Michal Martikn,M,SVK,1996,Canoeing,"Canoeing Men's Canadian Singles, Slalom",Gold,2.79E+10,5368000
Silvio Martinello,M,ITA,1996,Cycling,Cycling Men's Points Race,Gold,1.31E+12,56840000
Estbaliz Martnez Yerro,F,ESP,1996,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold,6.43E+11,39810000
"Angelina L. ""Angel"" Martino (Myers-, -Sims)",F,USA,1996,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold,8.07E+12,269700000
"Angelina L. ""Angel"" Martino (Myers-, -Sims)",F,USA,1996,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold,8.07E+12,269700000
Svetlana Aleksandrovna Masterkova,F,RUS,1996,Athletics,Athletics Women's 800 metres,Gold,3.92E+11,148200000
