Name,Sex,NOC,Year,Sport,Event,Medal
John Arthur Jarvis,M,GBR,1900,Swimming,"Swimming Men's 4,000 metres Freestyle",Gold
Harry Wyndham Jefferson,M,GBR,1900,Sailing,Sailing Mixed 3-10 Ton,Gold
Georges douard Johin,M,FRA,1900,Croquet,Croquet Mixed Doubles,Gold
James Henry Jones,M,GBR,1900,Football,Football Men's Football,Gold
"James Benner ""Jim"" Juvenal",M,USA,1900,Rowing,Rowing Men's Coxed Eights,Gold
Walther Katzenstein,M,GER,1900,Rowing,Rowing Men's Coxed Fours,Gold
Foxhall Parker Keene,M,USA,1900,Polo,Polo Men's Polo,Gold
Emil Kellenberger,M,SUI,1900,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",Gold
Emil Kellenberger,M,SUI,1900,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",Gold
Peter Kemp,M,GBR,1900,Water Polo,Water Polo Men's Water Polo,Gold
Roelof Klein,M,NED,1900,Rowing,Rowing Men's Coxed Pairs,Gold
"Alvin Christian ""Al"" Kraenzlein",M,USA,1900,Athletics,Athletics Men's 60 metres,Gold
"Alvin Christian ""Al"" Kraenzlein",M,USA,1900,Athletics,Athletics Men's 110 metres Hurdles,Gold
"Alvin Christian ""Al"" Kraenzlein",M,USA,1900,Athletics,Athletics Men's 200 metres Hurdles,Gold
"Alvin Christian ""Al"" Kraenzlein",M,USA,1900,Athletics,Athletics Men's Long Jump,Gold
"Frederick Claude Vivian ""Fred"" Lane",M,AUS,1900,Swimming,Swimming Men's 200 metres Freestyle,Gold
"Frederick Claude Vivian ""Fred"" Lane",M,AUS,1900,Swimming,Swimming Men's 200 metres Obstacle Course,Gold
Marie Victor Xavier Lardanchet,M,FRA,1900,Rugby,Rugby Men's Rugby,Gold
Jacques le Lavasseur,M,FRA,1900,Sailing,Sailing Mixed 2-3 Ton,Gold
Jacques le Lavasseur,M,FRA,1900,Sailing,Sailing Mixed 2-3 Ton,Gold
Hubert Jean Daniel Lefbvre,M,FRA,1900,Rugby,Rugby Men's Rugby,Gold
Gustav Lexau,M,GER,1900,Swimming,Swimming Men's 200 metres Team Swimming,Gold
Michael Victor Alexander Lindberg,M,NZL,1900,Water Polo,Water Polo Men's Water Polo,Gold
Roscoe Conkling Lockwood,M,USA,1900,Rowing,Rowing Men's Coxed Eights,Gold
"Maxwell Warburn ""Maxey"" Long",M,USA,1900,Athletics,Athletics Men's 400 metres,Gold
Ernst Lhrsen,M,GER,1900,Swimming,Swimming Men's 200 metres Team Swimming,Gold
Friedrich Lthi,M,SUI,1900,Shooting,"Shooting Men's Free Pistol, 50 metres, Team",Gold
Frank Jay Mackey,M,USA,1900,Polo,Polo Men's Polo,Gold
Lars Jrgen Madsen,M,DEN,1900,Shooting,"Shooting Men's Free Rifle, Standing, 300 metres",Gold
"Edward ""Ed"" Marsh",M,USA,1900,Rowing,Rowing Men's Coxed Eights,Gold
Algernon Maudslay,M,GBR,1900,Sailing,Sailing Mixed Open,Gold
Algernon Maudslay,M,GBR,1900,Sailing,Sailing Mixed 0.5-1 Ton,Gold
Louis Lucien Mrignac,M,FRA,1900,Fencing,"Fencing Men's Foil, Masters, Individual",Gold
Eugne Mougin,M,FRA,1900,Archery,"Archery Men's Au Chapelet, 50 metres",Gold
Louis Napolon Murat,M,FRA,1900,Equestrianism,Equestrianism Mixed Hacks And Hunter Combined,Gold
Georges Lambert Casimir Nagelmackers,M,BEL,1900,Equestrianism,Equestrianism Mixed Four-In-Hand Competition,Gold
Georg Naue,M,GER,1900,Sailing,Sailing Mixed 1-2 Ton,Gold
John Nicholas,M,GBR,1900,Football,Football Men's Football,Gold
August Nilsson,M,SWE,1900,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Gold
Joseph Adolphe Thophile Olivier,M,FRA,1900,Rugby,Rugby Men's Rugby,Gold
George Washington F. Orton,M,CAN,1900,Athletics,"Athletics Men's 2,500 metres Steeplechase",Gold
Nicolas Achille Paroche,M,FRA,1900,Shooting,"Shooting Men's Free Rifle, Prone, 300 metres",Gold
Paul Eugne Clestin Perquer,M,FRA,1900,Sailing,Sailing Mixed 10-20 Ton,Gold
Heinrich Peters,M,GER,1900,Sailing,Sailing Mixed 1-2 Ton,Gold
Alexandre Emmanuel Pharamond,M,FRA,1900,Rugby,Rugby Men's Rugby,Gold
Alfred James Powlesland,M,GBR,1900,Cricket,Cricket Men's Cricket,Gold
Meyer Prinstein,M,USA,1900,Athletics,Athletics Men's Triple Jump,Gold
Paul Probst,M,SUI,1900,Shooting,"Shooting Men's Free Pistol, 50 metres, Team",Gold
"William Francis Patterson ""Bill"" Quash",M,GBR,1900,Football,Football Men's Football,Gold
Cecil Quentin,M,GBR,1900,Sailing,Sailing Mixed 20+ Ton,Gold
"Alfred ""Toby"" Rawlinson",M,GBR,1900,Polo,Polo Men's Polo,Gold
"Franois tienne ""Frantz"" Reichel",M,FRA,1900,Rugby,Rugby Men's Rugby,Gold
Louis Marcel Richardet,M,SUI,1900,Shooting,"Shooting Men's Free Pistol, 50 metres, Team",Gold
Louis Marcel Richardet,M,SUI,1900,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",Gold
"John Thomas ""Jack"" Rimmer",M,GBR,1900,Athletics,"Athletics Men's 4,000 metres Steeplechase",Gold
"John Thomas ""Jack"" Rimmer",M,GBR,1900,Athletics,"Athletics Men's 5,000 metres, Team",Gold
